Age,Gender,Employment Status,Education Level,Credit Score,Annual Income,DTI (%),Loan Amount,Loan Purpose,Interest Rate (%),Loan Term (months),Home Ownership,Open Accounts,Bankruptcy,Payment History (on-time),Delinquency (count),Credit Inquiries,Credit Utilization (%),Employment Length (years),Loan Status
20,Male,Unemployed,Bachelor's,595,52390,32.86,40115,Car,22.1,60,Mortgage,5,2,14/53,2,1,28.67,18,Late
54,Female,Employed,Master's,635,29040,27.46,15982,Car,7.12,36,Rent,3,1,45/58,3,0,66.64,24,Current
50,Female,Retired,Bachelor's,501,31027,47.74,40459,Credit Card,23.11,36,Own,6,0,44/53,2,3,41.83,22,Charged Off
70,Female,Employed,Bachelor's,537,137097,41.3,27467,Medical,13.29,60,Own,5,0,39/53,2,0,97.09,11,Fully Paid
72,Female,Self-employed,Bachelor's,663,25700,29.77,2964,Car,7.33,60,Rent,10,2,7/56,1,4,78.69,3,Late
40,Male,Retired,Master's,556,115799,45.89,17539,Credit Card,18.15,60,Mortgage,7,1,29/59,0,5,66.89,9,Charged Off
42,Male,Unemployed,High School,444,85734,33.86,24064,Credit Card,23.9,36,Mortgage,10,1,43/52,1,5,90.13,3,Charged Off
37,Female,Self-employed,Bachelor's,665,93599,31.34,10472,Medical,5.65,60,Own,7,2,42/51,1,3,27.19,12,Charged Off
21,Female,Employed,Bachelor's,694,137550,30.81,43620,Medical,5.66,60,Rent,9,1,38/56,0,3,21.25,23,Late
56,Female,Unemployed,Bachelor's,718,46939,29.55,8793,Home,14.51,36,Rent,8,1,5/52,0,2,18.88,20,Late
36,Male,Self-employed,High School,618,20355,36.98,45576,Credit Card,10.48,60,Own,7,1,43/54,1,2,37.82,10,Charged Off
34,Female,Retired,High School,422,20698,25.42,47221,Credit Card,22.31,60,Mortgage,11,1,9/57,0,2,55.41,11,Late
54,Male,Employed,High School,422,76985,23.92,18449,Car,20.28,60,Rent,5,1,6/56,2,5,22.14,11,Late
52,Female,Unemployed,Master's,540,116970,29.85,15154,Car,20.58,60,Rent,5,0,36/53,0,2,57.58,38,Late
58,Male,Employed,Bachelor's,524,56193,47.1,38395,Medical,16.64,36,Mortgage,10,2,41/52,2,2,37.03,39,Charged Off
42,Female,Retired,High School,391,91766,39.63,16757,Home,20.77,36,Own,5,0,40/58,1,5,55.29,6,Current
52,Male,Self-employed,Bachelor's,365,136010,49.45,25895,Home,11.68,60,Mortgage,8,1,19/51,3,5,45.54,9,Current
39,Female,Retired,Master's,661,116623,25.7,47560,Medical,23.98,36,Mortgage,7,2,5/53,1,2,59.12,25,Charged Off
22,Male,Retired,High School,392,137446,21.59,46103,Home,9.78,60,Rent,10,2,18/51,3,4,35.39,7,Late
31,Female,Retired,High School,553,24808,49.28,8036,Home,7.26,36,Rent,5,2,47/53,2,1,76.01,36,Late
21,Female,Retired,Master's,751,74141,49.25,25871,Medical,24.09,60,Own,7,1,38/58,1,3,73.75,9,Current
34,Female,Retired,Master's,334,29715,25.28,36323,Car,10.69,36,Own,8,0,25/55,3,0,79.18,10,Charged Off
70,Female,Employed,Bachelor's,615,57017,38.18,19897,Medical,19.06,36,Mortgage,5,2,26/52,2,3,67.36,38,Fully Paid
48,Male,Self-employed,Bachelor's,543,85214,28.36,39557,Home,17.87,36,Rent,9,1,19/54,3,5,16.7,27,Current
63,Male,Self-employed,Bachelor's,789,139896,29.52,26457,Home,12.26,36,Own,4,0,22/53,3,2,94.0,19,Fully Paid
43,Female,Unemployed,Master's,634,116346,46.2,28509,Car,18.65,36,Mortgage,9,0,39/55,0,4,14.96,7,Charged Off
56,Male,Employed,Bachelor's,509,140494,44.92,44057,Credit Card,20.73,60,Mortgage,3,1,21/57,2,4,31.19,12,Late
22,Female,Unemployed,High School,596,62206,27.68,38714,Credit Card,16.05,60,Mortgage,6,2,42/58,1,1,17.65,28,Late
43,Male,Self-employed,Bachelor's,520,30906,31.03,28035,Medical,14.0,60,Rent,9,1,37/58,0,2,89.15,12,Charged Off
50,Female,Unemployed,Master's,701,105660,46.78,23774,Medical,13.93,36,Mortgage,3,0,5/53,1,3,13.15,21,Fully Paid
22,Male,Employed,Master's,657,24724,37.65,33306,Home,14.17,60,Mortgage,2,0,44/55,0,4,98.02,20,Charged Off
64,Female,Self-employed,High School,404,49560,19.32,14995,Car,5.55,36,Rent,5,1,23/59,1,5,11.11,2,Current
46,Female,Employed,Master's,311,83965,39.0,41571,Credit Card,18.99,60,Mortgage,7,1,35/52,3,1,43.45,28,Fully Paid
19,Female,Retired,Master's,833,94767,22.98,30076,Car,22.87,36,Rent,9,0,14/51,1,3,13.93,1,Late
20,Male,Retired,Master's,690,131803,37.96,45286,Credit Card,20.5,36,Mortgage,4,0,16/53,1,5,58.32,27,Fully Paid
20,Female,Unemployed,Master's,797,142446,21.33,6964,Medical,5.29,60,Rent,2,2,16/55,0,3,45.73,14,Late
21,Female,Employed,High School,352,118483,43.31,47310,Medical,22.8,60,Mortgage,4,0,8/56,3,1,98.52,15,Late
47,Male,Retired,High School,497,52200,28.63,3096,Medical,16.53,36,Own,4,0,10/53,1,2,21.41,27,Current
72,Male,Employed,Bachelor's,507,127106,19.46,44581,Medical,11.73,36,Mortgage,3,2,9/54,1,5,28.82,17,Current
56,Female,Self-employed,Master's,774,106095,25.64,21658,Home,21.55,60,Mortgage,3,2,38/54,2,3,99.75,34,Current
66,Male,Retired,Master's,762,110666,29.55,30631,Home,13.53,36,Own,10,1,27/55,1,4,43.43,17,Current
62,Male,Employed,High School,335,26376,32.14,27567,Credit Card,15.87,36,Rent,3,2,33/57,3,3,21.45,3,Fully Paid
37,Female,Retired,High School,531,77666,29.68,11398,Medical,14.59,60,Own,4,1,42/59,3,3,63.1,16,Late
59,Female,Self-employed,Bachelor's,734,80780,44.41,10386,Credit Card,14.55,36,Mortgage,2,1,4/56,1,2,33.64,9,Late
19,Male,Employed,Bachelor's,691,69959,25.31,48548,Medical,8.19,60,Rent,6,2,24/59,2,3,56.1,36,Charged Off
52,Female,Retired,High School,304,142389,47.83,48801,Medical,13.43,36,Own,11,1,19/54,1,4,76.49,38,Charged Off
58,Male,Retired,Bachelor's,677,99971,47.68,35077,Credit Card,8.6,60,Own,3,0,43/57,3,2,68.27,34,Late
19,Male,Retired,Master's,650,75987,20.1,47142,Car,24.85,60,Rent,2,2,27/59,1,2,99.54,20,Current
64,Female,Employed,High School,365,72559,29.59,23558,Credit Card,7.02,60,Mortgage,2,1,7/56,2,3,10.86,19,Late
26,Male,Unemployed,Bachelor's,337,22047,27.81,12250,Home,18.13,60,Mortgage,10,1,47/56,1,4,96.74,12,Charged Off
27,Female,Unemployed,High School,704,43341,40.62,21419,Credit Card,12.77,60,Own,11,0,36/54,3,5,25.89,18,Fully Paid
62,Female,Unemployed,Master's,767,68513,26.36,6878,Credit Card,22.91,60,Own,2,2,44/53,3,1,33.44,37,Current
41,Male,Employed,Bachelor's,671,86169,38.3,18064,Car,13.3,36,Own,9,0,5/56,0,2,72.39,32,Current
34,Female,Unemployed,Master's,838,48043,27.0,7143,Home,8.2,60,Mortgage,7,2,45/52,0,5,11.17,19,Fully Paid
49,Female,Employed,High School,359,114267,34.18,44708,Car,12.66,36,Mortgage,11,2,1/56,3,1,11.38,32,Current
53,Male,Self-employed,High School,759,89921,49.13,19331,Credit Card,20.65,60,Mortgage,7,2,47/52,0,0,79.25,27,Late
74,Female,Self-employed,Master's,729,134802,17.56,47007,Home,9.8,60,Own,10,2,26/54,1,5,36.05,37,Charged Off
49,Female,Employed,High School,740,146943,45.47,38797,Car,20.12,60,Own,6,1,8/56,1,0,63.01,21,Fully Paid
69,Male,Self-employed,High School,834,76660,18.56,19109,Credit Card,16.61,60,Mortgage,9,0,25/59,0,2,35.48,12,Fully Paid
63,Male,Retired,Bachelor's,639,39477,21.39,16052,Home,21.89,36,Rent,11,1,13/58,0,2,21.8,37,Charged Off
64,Female,Retired,Master's,685,53290,15.39,9956,Car,12.02,60,Mortgage,8,1,34/59,2,5,21.41,38,Fully Paid
70,Female,Unemployed,High School,452,101615,30.76,26302,Home,17.43,36,Mortgage,11,1,13/57,2,0,92.45,10,Fully Paid
66,Female,Employed,Master's,598,63833,36.5,48778,Home,18.43,36,Mortgage,11,0,24/59,2,2,32.73,19,Current
25,Female,Employed,High School,442,64420,20.83,9428,Car,20.8,36,Rent,8,1,15/55,3,0,68.49,22,Charged Off
68,Male,Self-employed,Master's,650,101228,29.7,34620,Credit Card,20.41,36,Rent,4,0,17/55,1,3,21.53,19,Current
71,Male,Employed,Bachelor's,722,127681,25.33,39190,Car,16.03,60,Rent,9,2,39/54,3,1,65.97,34,Late
63,Male,Self-employed,Bachelor's,301,84063,40.32,43813,Home,16.58,36,Mortgage,6,2,17/54,3,5,22.75,29,Late
41,Female,Unemployed,High School,697,78203,41.61,22367,Credit Card,20.67,60,Own,2,1,49/56,0,0,82.99,19,Fully Paid
